행정동_코드,행정동_코드_명,총_점포_수_합계,2024년_총_유동인구_합계,2024년_총_상주인구_합계,영역_면적,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,집객_지수
11560585,도림동,719,22194580,70248,585885,12125936,7025678000,3270372000,1717213000,0.1041433272543586
11560605,문래동,2965,37192782,128088,1786708,16077780,920230072000,5962795000,12231152000,0.3237722548836955
11560610,양평1동,1334,21581087,72456,974912,14033000,11343901000,1632787000,3397159000,0.1370322402772748
11560620,양평2동,1573,19534545,89152,2874596,14688352,38412216000,4619530000,5089852000,0.2192958494310165
11560630,신길1동,900,21953799,77256,722925,11120176,11507910000,2859165000,2296232000,0.1362715325610004
11560650,신길3동,682,24852616,63800,520083,12341768,9304612000,2538243000,1765433000,0.1690183409033539
11560660,신길4동,409,10608198,41260,292127,10871164,2736684000,1062256000,554185000,0.0566287115011145
11560670,신길5동,319,12608483,39788,494653,10626044,5128830000,578690000,1156202000,0.1051320641352877
11560680,신길6동,862,21669900,77972,653511,11818464,13538249000,3323116000,3229883000,0.2027825912858255
11560690,신길7동,410,15782941,79116,642487,14464280,8837684000,2238711000,1283380000,0.1271296592654478
11560700,대림1동,911,17635428,54844,498978,10329768,13960273000,5118325000,1906730000,0.1257593883696665
11560710,대림2동,1934,20203013,46920,572540,10744960,11604086000,3444676000,4507793000,0.1321319471548469
11560720,대림3동,1739,27708308,85952,921696,11631732,20640920000,2771385000,4826854000,0.2174815774854949
11590510,노량진1동,1509,25343322,128020,1613446,14332396,19256365000,5745310000,6432608000,0.314856165105997
11590520,노량진2동,985,12549924,40724,600568,9683044,15472701000,7814439000,4280734000,0.1088336386508107
11590530,상도1동,1559,31334654,177856,1488648,15503584,22222437000,6763712000,6834457000,0.3488928518437021
11590540,상도2동,798,19558095,108336,772865,15306796,12303251000,3750151000,2729552000,0.2622310574382528
11590550,상도3동,744,18943000,95376,637199,10303588,13045870000,6808535000,2664737000,0.1888831217800888
11590560,상도4동,715,21718474,110436,939562,10253032,5885483000,2220543000,1864623000,0.1873877330972987
11590605,흑석동,1494,24051073,119628,1708306,16899784,27241426000,4391453000,5815763000,0.3410603077385299
11590620,사당1동,1990,27046048,89660,635172,11420692,25170493000,4945389000,11415570000,0.1996547117720115
11590630,사당2동,1593,30770972,108604,2763201,15539952,23984400000,6768412000,8239521000,0.3012570538482297
11590640,사당3동,630,21284876,94744,907684,15560140,8023779000,3046246000,2392312000,0.1429624866075527
11590650,사당4동,502,16181526,55084,436148,11376672,6099855000,3281584000,1025706000,0.0845547914910916
11590651,사당5동,308,13609426,56472,682199,12190644,2561299000,817229000,901897000,0.0953929910052899
11590660,대방동,1157,29742939,142480,1544903,14099060,17539681000,4943341000,4156228000,0.3495017420690051
11590670,신대방1동,731,14670557,93128,675281,15380376,7665787000,2764433000,2081759000,0.1270514517713526
11590680,신대방2동,1250,20426645,90736,977033,13360628,279612461000,4584776000,5903252000,0.1801981020122421
11620525,보라매동,1176,14246309,92368,750225,10119980,38056517000,2855509000,2571152000,0.1311203295014581
11620545,청림동,387,12715354,58904,297155,14731100,3518918000,2050538000,334717000,0.0655939266832534
11620565,성현동,483,17156348,112888,678223,13820432,4004167000,1446315000,450279000,0.1740055653676649
11620575,행운동,1287,28867309,115032,718235,11557900,17345057000,5928523000,4166015000,0.1747891985516519
11620585,낙성대동,2354,24273761,68844,2262818,12902900,24878991000,2464959000,12708190000,0.2548921006639368
11620595,청룡동,1760,42852605,142508,1195604,11072644,24429469000,5890124000,5846083000,0.2380543837307522
11620605,은천동,1388,34220134,129436,776212,12252308,17306290000,6443643000,4761176000,0.2093641256171812
11620615,중앙동,949,21680558,60504,384728,10533972,16138808000,5027179000,3760584000,0.1259101087840571
11620625,인헌동,1001,24420542,101540,1089078,11134772,15081034000,3121074000,3211503000,0.1693871065852224
11620630,남현동,936,17989286,70672,3281024,12936104,16324201000,4782982000,5849252000,0.099399239117051
11620645,서원동,1538,22194418,91632,647532,9648004,35353321000,4460900000,11060500000,0.1515920948537021
11620655,신원동,897,24518542,69936,544977,9612948,5394182000,2418567000,1639753000,0.0748503353490245
11620665,서림동,794,20554554,93276,941252,10122500,6752470000,2268018000,1497433000,0.1207297462394816
11620685,신사동,1259,29883178,87876,641031,9722648,10233573000,3842842000,2167936000,0.1235296692532081
11620695,신림동,1970,39871326,90488,541240,9737116,24558710000,4709927000,7911461000,0.2723645995791589
11620715,난향동,250,5762087,58904,821397,13048780,2090792000,1072248000,367537000,0.1104454470196352
11620725,조원동,1556,29470299,78392,666607,10092768,16630503000,3283197000,5106983000,0.1570846052896189
11620735,대학동,1679,25320909,96948,8405183,10489632,20066962000,8602845000,6353847000,0.5205749425481524
11620745,삼성동,474,28517646,79880,2604386,10374780,5164667000,3272457000,581957000,0.1604405620213345
11620765,미성동,934,20972536,118104,1359429,10706148,10814003000,2768227000,2240190000,0.2155976428019154
11620775,난곡동,517,22777347,101028,972373,9074704,7651624000,3383058000,1115292000,0.1542458829450725
11650510,서초1동,1878,31100441,80616,1382685,19076476,28553947000,4001787000,6681410000,0.3307063280486045
