"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20201","11140","중구","CS300026","완구","53082133","163","14314283","38767850","0","5964285","8349998","0","0","38767850","0","0","5964285","8349998","38767850","0","0","5964285","38767850","0","0","0","44732134","0","0","109","54","0","55","54","0","0","54","0","0","55","54","54","0","0","54","54","0","0","0","108","0","0"
"20201","11140","중구","CS200033","부동산중개업","350389578","48387","277809862","72579716","63232329","81377256","42338168","42063245","48798864","31616164","40963552","34365396","86325875","64881867","64194560","54984635","45637245","229785781","73317011","0","32278480","140460746","77740774","47386757","5236036","39865","8522","9347","9622","6598","6598","7700","4124","4398","4124","8248","10447","11547","7423","6598","31983","10631","0","4476","21185","9759","6079","1115"
"20201","11170","용산구","CS100001","한식음식점","75844553433","2273860","57100030671","18744522762","10252928626","10984125179","11310251475","11975372877","12577352514","10818605512","7925917250","5592004125","1674289101","18765655647","5649729849","29185339300","14977535411","35082146852","21942440180","238277707","13341671487","15994593367","12050683955","9601235444","5798125092","1757507","516353","334471","343114","345791","364146","369985","284016","232337","149154","80752","882198","247229","653817","260710","1175726","800899","12175","498426","533628","410722","319615","202046"
"20201","11170","용산구","CS200017","골프연습장","1028459584","25812","685350407","343109177","118526441","120391046","153416655","158415906","134600359","150723621","192385556","117651735","55571336","102800803","147705872","324734434","279995404","768238818","137242619","0","32807222","218017730","326631639","236148632","91876216","16354","9458","3142","2839","3534","3703","3136","4474","4984","2126","1783","2711","4851","8019","6322","20361","3029","0","700","5907","7563","6478","2737"
"20201","11170","용산구","CS200028","미용실","4305575919","80146","2807883624","1497692295","495180136","516597006","546881233","616067702","633157547","1019821312","477870983","0","77273278","1022637276","1368028976","1715572148","122064241","1529744349","2690673650","32262444","692635979","1019514423","948897421","1002229690","524878040","53483","26663","10523","8867","10252","11083","12758","16999","9664","0","2647","19816","25737","30704","1242","42551","37234","796","17759","20104","17653","15170","8302"
"20201","11170","용산구","CS300011","일반의류","18861696023","218127","11786968787","7074727236","1811513603","2152198249","2393232207","2632681343","2797343385","3935354047","3139373189","1061512970","318262544","3726169285","6770289101","6481737939","503724184","7643166901","10579005612","141720679","4459883313","4239640722","3747287158","3424865306","2208775332","122660","95467","20301","20428","27007","25250","29674","51084","44383","31632","4848","36448","65581","69122","10496","88017","128406","3859","90404","43912","31867","29490","16889"
"20251","11110","종로구","CS300024","운동/경기용품","7662674577","64054","4568999109","3093675468","934186205","652845220","998720411","995167350","988079923","1896112166","1197563302","0","414087781","2174948831","3561225664","1512412301","0","4622688238","2722713142","24668000","1088934699","1615112390","679684047","1402259356","2534742889","37428","26626","8030","6220","7421","7840","7917","16177","10449","0","3685","20010","29066","11293","0","37663","25248","199","7422","12147","8881","11233","23027"
"20201","11170","용산구","CS300021","문구","11002845362","344031","10812491836","190353526","2059578259","2779823993","1520311728","2257080034","2195697822","161114324","29239202","0","3478561065","2242293316","4434224780","836896614","10869587","2529765300","3394108344","9254532","420072545","619161620","2954275182","1182902960","738206808","327786","16245","66132","72890","67800","60113","60851","12952","3293","0","70562","108130","101653","62341","1345","166417","91091","1690","59392","49367","48183","49578","49312"
"20201","11170","용산구","CS200002","외국어학원","1981283471","1589","1929254776","52028695","103546659","430814185","289888734","516331396","588673802","52028695","0","0","749144754","126551158","800122875","292830954","12633730","960432778","807581733","0","0","650903646","773792245","114893490","228425130","1436","153","291","239","223","233","450","153","0","0","280","229","547","515","18","628","939","0","0","359","997","146","66"
"20201","11170","용산구","CS200032","가전제품수리","2017822989","26495","1999843738","17979251","433380904","471088743","398372156","328699336","368302599","17979251","0","0","310677549","634431728","661095665","404870395","6747652","1411934874","489664497","646162","201826228","414333901","743977394","342002734","198812952","26092","403","5910","5713","5003","4215","5251","403","0","0","4136","7726","10291","4293","49","16115","9023","39","2298","5575","6592","6367","4266"
